"","Name","Affiliation","Mark","Status","Declaration","gender","event"
"1","Yared Nuguse","On Athletics Club","3:29.02","qualified","declared","men","1500m"
"2","Hobbs Kessler","adidas","3:32.61","qualified","declared","men","1500m"
"3","Cooper Teare","NIKE","3:32.74","qualified","declared","men","1500m"
"4","Cole Hocker","NIKE","3:34.14","qualified","declared","men","1500m"
"5","Casey Comber","Under Armour","3:34.24","qualified","declared","men","1500m"
"6","John Gregorek","ASICS","3:34.35","qualified","declared","men","1500m"
"7","Kasey Knevelbaard","Under Armour","3:34.55","qualified","declared","men","1500m"
"8","Samuel Prakel","adidas","3:34.63","qualified","declared","men","1500m"
"9","Andrew Hunter","adidas","3:34.86","qualified","declared","men","1500m"
"10","Henry Wynne","Brooks / BROOKS Beasts TC","3:35.45","qualified","declared","men","1500m"
"11","Josh Thompson","NIKE / Bowerman Track Club","3:35.55","qualified","declared","men","1500m"
"12","Eric Holt","EMPIRE ELITE TC","3:35.80","qualified","declared","men","1500m"
"13","Joseph Waskom","University of Washington","3:35.86","qualified","declared","men","1500m"
"14","Vincent Ciattei","","3:36.62","qualified","declared","men","1500m"
"15","Matthew Centrowitz","NIKE","3:36.64","qualified","declared","men","1500m"
"16","Craig Engels","NIKE","3:36.79","qualified","declared","men","1500m"
"17","Matt Wisner","Oregon Track Club","3:36.87","qualified","declared","men","1500m"
"18","Andrew Ernst","","3:36.98","qualified","declared","men","1500m"
"19","Isaac Basten","Drake University","3:36.99","qualified","declared","men","1500m"
"20","Nathan Green","University of Washington","3:52.76","qualified","declared","men","1500m"
"21","Christian Noble","New Balance Boston","3:53.50","qualified","declared","men","1500m"
"22","Sam Ellis","","3:53.84","qualified","declared","men","1500m"
"23","John Reniewicki","Under Armour","3:37.06","accepted","declared","men","1500m"
"24","Brett Meyer","","3:37.57","accepted","declared","men","1500m"
"25","Simeon Birnbaum","","3:37.93","accepted","declared","men","1500m"
"26","Elliott Cook","University of Oregon","3:38.12","accepted","declared","men","1500m"
"27","Benjamin Allen","EMPIRE ELITE TC","3:38.61","accepted","declared","men","1500m"
"28","Jack Yearian","Oregon Track Club","3:38.68","accepted","declared","men","1500m"
"29","Nick Foster","University of Michigan","3:38.78","accepted","declared","men","1500m"
"30","Rheinhardt Harrison","University of Oregon","3:38.90","accepted","declared","men","1500m"
"31","Daniel Schaffer","ZAP Endurance","3:39.03","accepted","declared","men","1500m"
"32","Davis Bove","Louisiana State University","3:39.17","accepted","declared","men","1500m"
"33","Matt Strangio","University of Portland","3:39.19","accepted","declared","men","1500m"
"34","Austen Dalquist","Tracksmith","3:39.34","accepted","declared","men","1500m"
"35","Evan Dorenkamp","Pennsylvania State University","3:40.07","accepted","declared","men","1500m"
"36","Sean Peterson","New Balance","3:40.39","accepted","declared","men","1500m"
"37","Christopher Middleton-Pearson","Oklahoma State University","3:40.41","not qualified","not accepted","men","1500m"
"38","Colin Abert","Minnesota Distance Elite","3:41.25","not qualified","not accepted","men","1500m"
"39","Kendall Muhammad","","3:41.48","not qualified","not accepted","men","1500m"
"40","David Timlin","","3:41.58","not qualified","not accepted","men","1500m"
"41","Max Murphy","University of Iowa","3:41.63","not qualified","not accepted","men","1500m"
"42","Ryan Drew","","3:42.08","not qualified","not accepted","men","1500m"
"43","Miles Smith","Peninsula Distance Club","3:42.27","not qualified","not accepted","men","1500m"
"44","Enrique Borrego","University of Miami (Florida)","3:52.91","not qualified","not accepted","men","1500m"
"45","David Ribich","Nike Union Athletics Club","3:35.51","qualified","scratched","men","1500m"
"46","Paul Ryan","adidas","3:36.49","qualified","scratched","men","1500m"
"47","Anthony Camerieri","University of Mississippi","3:38.34","accepted","scratched","men","1500m"
"48","Eric Avila","adidas / Golden Coast Track Club","3:39.09","accepted","scratched","men","1500m"
"49","Bobby Poynter","University of Southern California","3:42.75","not qualified","scratched","men","1500m"
"50","Mason Ferlic","adidas","8:22.25","info needed","scratched","men","1500m"
"51","Heather MacLean","New Balance / New Balance Boston","3:58.76","qualified","declared","women","1500m"
"52","Elise Cranny","NIKE / Bowerman Track Club","3:59.06","qualified","declared","women","1500m"
"53","Cory McGee","New Balance","4:00.61","qualified","declared","women","1500m"
"54","Sinclaire Johnson","NIKE / Nike Union Athletics Club","4:00.77","qualified","declared","women","1500m"
"55","Nikki Hiltz","lululemon","4:01.42","qualified","declared","women","1500m"
"56","Emily Mackay","New Balance Boston","4:01.52","qualified","declared","women","1500m"
"57","Helen Schlachtenhaufen","NIKE","4:01.55","qualified","declared","women","1500m"
"58","Addison Wiley","Huntington University","4:03.22","qualified","declared","women","1500m"
"59","Alexina Teubel","Tracksmith","4:05.79","accepted","declared","women","1500m"
"60","Dani Jones","New Balance","4:06.57","accepted","declared","women","1500m"
"61","Skylyn Webb","Saucony","4:06.73","accepted","declared","women","1500m"
"62","Taryn Rawlings","adidas","4:06.75","accepted","declared","women","1500m"
"63","Angel Piccirillo","Puma Elite Running","4:06.96","accepted","declared","women","1500m"
"64","Allison Cash","ASICS","4:08.60","accepted","declared","women","1500m"
"65","Laurie Barton","BROOKS Beasts TC","4:08.68","accepted","declared","women","1500m"
"66","Katie Camarena","","4:08.73","accepted","declared","women","1500m"
"67","Anna Camp-Bennett","adidas","4:09.07","accepted","declared","women","1500m"
"68","Ella Donaghu","Nike Union Athletics Club","4:09.10","accepted","declared","women","1500m"
"69","Micaela DeGenero","PUMA","4:09.58","accepted","declared","women","1500m"
"70","Melissa Tanaka","","4:09.85","accepted","declared","women","1500m"
"71","Jenn Randall","Tracksmith / Cascadia Elite","4:10.29","accepted","declared","women","1500m"
"72","Abbe Goldstein","","4:10.32","accepted","declared","women","1500m"
"73","Teagan Schein-Becker","Rider University","4:10.42","accepted","declared","women","1500m"
"74","Christina Aragon","NIKE / Bowerman Track Club","4:10.83","accepted","declared","women","1500m"
"75","Maddy Berkson","Tracksmith / Rhode Island Track Club","4:11.18","accepted","declared","women","1500m"
"76","Julia Heymach","BROOKS Beasts TC","4:11.68","accepted","declared","women","1500m"
"77","Anna Gibson","","4:12.65","accepted","declared","women","1500m"
"78","Danielle Aragon","EMPIRE ELITE TC","4:13.65","accepted","declared","women","1500m"
"79","Anna Jurew","Central Park Track Club (CPTC) - Tracksmith","4:13.93","accepted","declared","women","1500m"
"80","Savannah Shaw","North Carolina State University","4:14.20","accepted","declared","women","1500m"
"81","Ellie Shea","Emerging Elites","4:14.24","accepted","declared","women","1500m"
"82","Katie Follett","","4:16.07","accepted","declared","women","1500m"
"83","Amelia Keyser-Gibson","Cascadia Elite","4:16.46","accepted","declared","women","1500m"
"84","Anna Connor","Tracksmith / Cascadia Elite","4:17.88","accepted","declared","women","1500m"
"85","Tracee van der Wyk","","4:18.06","accepted","declared","women","1500m"
"86","Natalie Cizmas","Very Nice Track Club","4:19.12","accepted","declared","women","1500m"
"87","Athing Mu","NIKE","NT","accepted","declared","women","1500m"
"88","Josette Andrews","On Athletics Club","4:00.77","qualified","scratched","women","1500m"
"89","Whittni Morgan","adidas","4:05.97","accepted","scratched","women","1500m"
"90","Katelyn Tuohy","North Carolina State University","4:06.49","accepted","scratched","women","1500m"
"91","Grace Barnett","ASICS Mammoth Track Club","4:14.85","accepted","scratched","women","1500m"
